Date,Details
1301-10-18,Feast of St Luke the Evangelist
1301-10-26,
1301-10-28,Feast of SS Simon and Jude.
1301-11-01,Feast of All Saints
1301-11-02,Feast of All Saints
1301-11-11,Feast of Martinmas
1301-11-20,Feast of St Edmund the King.
1301-11-23,Feast of St Clement
1301-11-24,Feast of St Clement cont.)?
1301-11-25,Feast of St Catherine the virgin
1301-11-30,Feast of St Andrew
1301-12-06,Feast of St Nicholas
1301-12-08,Feast of the Conception of the Blessed Virgin
1301-12-16,
1302-01-16,
1302-01-17,
1302-01-18,
1302-01-20,
1302-01-25,Feast of the Conversion of St Paul
1302-02-02,Candlemas
1302-02-10,
1302-02-14,
1302-02-15,
1302-02-22,Feast of St Peter in Cathedra.
1302-02-24,Feast of St Mathias the Apostle
1302-03-03,
1302-03-13,
1302-03-15,
1302-03-17,Feast of St Patrick
1302-05-01,Feast of SS Philip and James
1302-05-03,Feast of the Finding of the Holy Cross
1302-05-30,Ascension Day
1302-05-31,Ascension Day
1302-06-06,
1302-06-28,Feast of SS Peter and Paul
1302-06-29,Feast of SS Peter and Paul
1302-07-05,
1302-07-07,Feast of the Translation of St Thomas the Martyr
1302-07-09,
1302-07-10,
1302-07-17,
1302-07-19,
1302-07-20,
1302-07-25,Feast of St James the Apostle.
1302-08-01,Feast of St Peter Ad Vincula
1302-08-08,